,question,answer,professionalism_rating
28,Where do you see yourself in 5 years?,"Oh, wow, five years, huh? That's a long time! Well, to be honest, I haven't really given it a ton of thought. I guess... ideally, I'd still be, you know, employed. Hopefully, in a job that, like, doesn't totally suck the life out of me. And maybe, just maybe, I'd have gotten a promotion or two. Or at least a raise!

I'd love to be, you know, more skilled at whatever I'm doing. You know, a master of my craft, or something. Maybe even leading a team? I don't know, that sounds stressful. Honestly, I'm just hoping things are generally alright. Like, not too bad. I want to be happy, wherever I am, doing whatever. Does that make sense? Basically, I'm playing it by ear!",0.0
29,How do you respond when a teammate isn't pulling their weight?,"When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together. How do you respond when a teammate isn't pulling their weight?",1.0
30,What are your expectations from leadership in a company?,"Well, I guess, like, leadership, right? It's important. I think they should, you know, be good leaders. Not bad ones. Obviously. I expect them to, um, lead, which seems pretty self-explanatory. 

Also, like, communication is key, right? They gotta talk to us, keep us in the loop, you know? And, uh, motivate us. Gotta keep us pumped up. Free pizza Fridays would be good for that. Or maybe like, team-building stuff. You know, fun stuff. 

And, uh, I guess, uh, they should make sure things run smoothly? Like, the company doesn't, you know, fall apart. I'm not really sure what else. Just, you know, do their job, I guess. Hopefully, I won't have to interact with them too much, unless I need something. Okay, that's it.",0.0
31,How do you align with our company values?,"Well, you know, company values... they're important, right? I definitely think so. I looked at your website, and the words sounded good. Like, teamwork and, um, being innovative. I'm pretty good at teamwork, I guess. I work with people... sometimes. And innovative? Yeah, I try to think outside the box, occasionally. When I have to.

Honestly, I haven't really *thought* about it. I just kind of do my job, you know? Hopefully, I don't cause any problems. I try to be a nice person, and I follow the rules most of the time. So, yeah, I guess I'm aligned? I mean, I'm here, right? And I want the job. So I must be a good fit, in a general sense. Does that make sense?",0.0
32,Tell me about a time you were highly motivated to achieve a goal.,I'm motivated by challenges and the opportunity to grow both personally and professionally. Tell me about a time you were highly motivated to achieve a goal.,1.0
33,What would you do if you disagreed with your manager?,"When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together. What would you do if you disagreed with your manager?",1.0
34,How do you build trust with new teammates?,"Well, building trust with new people? It's not rocket science, you know? Mostly, you just gotta be yourself. Don't try to be someone you're not, because people can sniff that out a mile away. Authenticity is key, I think.

And, like, be friendly, I guess. Smile a lot! People dig that. Maybe bring in some donuts on a Monday? That usually works. Or offer to help them out if they seem stuck on something. Show them you're a team player, you know?

I don't overthink it. Just try to be agreeable and don't stir up any trouble. Stay out of drama. Keep things positive, and eventually, they'll probably start to trust you. It just takes time. You know, let it happen naturally. Don't force it.",0.0
35,Describe a time you handled a difficult situation professionally.,"When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together. Describe a time you handled a difficult situation professionally.",1.0
36,What would you do if you disagreed with your manager?,"Okay, so, if I disagreed with my manager? Well, that depends, right? It depends on *what* we're disagreeing about. If it's like, a small thing, maybe I'd just, you know, let it go. Not worth the hassle, you know?

But if it was something *really* important, like, really, really important, then I'd probably, like, consider it. I'd think about it. Maybe I'd talk to someone about it, maybe not. 

Honestly, I haven't really *been* in that situation much, so it's hard to say. I'm a team player, you know? I try to get along. I'd probably just, you know, try to see their point of view. Or maybe… just do what they say? Depends, again. Flexibility is key, right? I'm flexible.",0.0
37,Tell me about a time you mentored someone.,"Oh, yeah, I've mentored people, for sure. Actually, a few times, now that I think about it. It's usually just like, helping out. I'm a pretty helpful person, you know? Like, there was this one time, I think it was last year? Yeah, last year, there was this new guy, and he was totally lost. He didn't know how to use the coffee machine, which was a disaster, honestly.

So, I showed him, like, the basics. You know, where to put the coffee and the water and stuff. I explained everything really clearly. And, well, he seemed to get it. I guess that was mentoring. Then, he was asking about the spreadsheet things. It's a whole situation. It went on for a while, so I think it counts. Pretty sure. I did a lot for him.",0.0
38,Do you prefer working independently or in teams? Why?,"Well, honestly, it depends, you know? Sometimes I like working by myself, just zoning in and getting things done, you know, without anyone bugging me. It's good for focus and all that. Other times, teamwork is cool. You can bounce ideas off of people, and it's like, more fun, maybe?

It really depends on the project and, like, the people involved. If it's a bunch of slackers, I'd rather just do it myself, you know? But if the team is, you know, *good*, and we're all on the same page, then that's okay too. I guess I'm adaptable. Both have their pros and cons, I'm pretty flexible. It's all about finding the right fit, I think. And what the boss wants, I guess.",0.0
39,Describe a time you felt out of place in a workplace culture.,"I thrive in collaborative, transparent environments where innovation and respect are valued. Describe a time you felt out of place in a workplace culture.",1.0
40,How do you respond when a teammate isn't pulling their weight?,"Oh, that's a tricky one! I mean, it really depends, right? Sometimes people have, like, a lot going on. So, first, I'd probably just... notice it. You know, see if I'm actually seeing things, or if it's just me. Then maybe I'd just casually mention it in a meeting, like, ""Hey, is everything cool?"" or something.

If it keeps up, I guess I'd talk to them, but not in a big way. I'm not really a confrontational person. Maybe a quick chat over coffee, you know? Just be, like, ""Hey, I noticed you've been a little… less involved lately."" And hopefully, they'd get the hint and step it up. If not, well, I'd probably just go to my boss. I don't like doing that, but sometimes you gotta do what you gotta do, right? It’s a real teamwork thing.",0.0
41,What are your long-term career aspirations?,"Honestly, I haven't really thought about it *that* much. I mean, the future is a long time away, right? Probably something with, like, a good salary. You know, enough to live comfortably. Maybe managing people? Or, like, being a boss? That sounds alright.

I'm open to pretty much anything, as long as I'm not, you know, *unhappy*. I'm flexible. I’d prefer something where I don’t have to work *too* hard, of course. And where I can be around people who are fun. But really, just a good job, somewhere I can, you know, climb the ladder, I guess. And maybe, like, have a nice office. Yeah, a nice office would be cool. I figure I’ll figure it out when I get there. Does that make sense?",0.0
42,What are your expectations from leadership in a company?,"I thrive in collaborative, transparent environments where innovation and respect are valued. What are your expectations from leadership in a company?",1.0
43,What tools or methods help you stay organized?,I follow a structured workflow and use tools like Jira/Trello/Notion to manage my tasks efficiently. What tools or methods help you stay organized?,1.0
44,How do you stay motivated during repetitive tasks?,"Honestly, repetitive tasks? Ugh, they're the worst. I just try to get them over with as fast as possible, you know? Like, I just zone out and listen to music or something. Anything to make the time go by quicker.

Sometimes I daydream about winning the lottery and quitting, that's a good motivator, haha. Or I think about the weekend and all the fun stuff I have planned. I guess, I try to find something else to focus on because the task itself is, well, boring.

I don't really have a system or anything. I just, you know, do what I gotta do. Sometimes I reward myself with a coffee break after I finish a section, that can help. But mostly, I just try to power through it and hope it doesn't last too long. Basically, I survive it.",0.0
45,How do you build trust with new teammates?,"Well, building trust? That's, like, a process, right? You don't just *get* it overnight. I usually just try to, you know, be myself. Authenticity is key, I guess. I try to be friendly, say hi, maybe crack a joke or two if the mood's right. It depends on the team, you know? Some teams are super chatty, others are quiet.

Mostly I try to, like, contribute to the work. If I do my job, people will see I'm reliable, right? And I always try to avoid drama. Gossip is a no-go for me. I think. I mean, unless it's really, really juicy. But usually not. Just trying to be a good teammate, I guess. It's all about the vibe, man. Gotta have a good vibe.",0.0
46,How do you build trust with new teammates?,"Okay, so building trust, right? It's kinda just...happens, you know? You gotta be yourself, whatever that means. Don't try too hard, people can smell that. 

I guess I just try to be friendly. Say hi in the morning, maybe ask how their weekend was. Sometimes I share a funny meme or something. Just, like, be approachable. 

Definitely don't get involved in any drama. That's a trust killer, for sure. And I try to keep my word, you know? If I say I'll do something, I try to do it...eventually. 

Mostly, I just let them see me working. People can see if you’re a hard worker. Oh, and don't be afraid to, like, talk about yourself a little, but not too much. Finding common ground is important, but I just kind of wing it, to be honest.",0.0
47,What are your long-term career aspirations?,My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. What are your long-term career aspirations?,1.0
48,Where do you see yourself in 5 years?,My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. Where do you see yourself in 5 years?,1.0
49,Do you prefer working independently or in teams? Why?,"Um, well, I guess I'm okay with both? It kind of depends on the project, you know? Sometimes, when I'm working on something, I just want to be left alone to do it, and that's cool. I can get stuff done without anyone bothering me. On the other hand, teamwork is good too, I guess. It's nice to bounce ideas off other people and like, see what they think.

I don't really have a preference. It's whatever. I'm pretty flexible, I think. I just go with the flow. If there's a team, cool, if there isn't, cool. Whatever gets the job done, right? Plus, when you're in a team, you don't have to do *all* the work yourself, which is a plus. So yeah, both are fine. I don't really care either way. As long as I'm getting paid, I'm good!",0.0
50,What type of company culture do you thrive in?,"I thrive in collaborative, transparent environments where innovation and respect are valued. What type of company culture do you thrive in?",1.0
51,Describe a time you felt out of place in a workplace culture.,"I thrive in collaborative, transparent environments where innovation and respect are valued. Describe a time you felt out of place in a workplace culture.",1.0
52,What makes a good leader in your opinion?,"I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. What makes a good leader in your opinion?",1.0
53,Tell me about a time you were highly motivated to achieve a goal.,"Oh, yeah, I've been super motivated a bunch of times! Like, all the time, really. I'm a pretty driven person, you know?

Okay, so there was this one time... I think it was in college? Yeah, definitely college. We had this big project, like, a presentation or something. I was totally stressed at first, but then I knew I had to get it done. So, I just buckled down and, you know, *did* it. 

I worked really hard. Like, stayed up late a couple of times, maybe skipped a few parties. The goal was to get a good grade, and I think I did okay. It was a good experience, and I learned a lot about... stuff. I can't really remember the specifics, but it was definitely a time I was, you know, motivated. Pretty sure it was successful. And yeah, that's about it.",0.0
54,Where do you see yourself in 5 years?,"Oh, wow, five years. That's, like, a really long time, you know? Honestly, I haven't thought *that* far ahead. Things change so fast, right? I mean, the job market is crazy, and who knows what new tech will be out?

Ideally, I'd be somewhere where I'm, like, happy and, you know, not stressed. Maybe in a slightly higher position than this one, I guess? With a bigger office, maybe. And a better coffee machine!

Honestly, I just want to be successful. Whatever that means. I haven't really defined it yet. I'm hoping to be challenged and learn some new skills. I’m open to possibilities, whatever comes along. I just want to be making good money and enjoying my life. Something like that. So yeah, that's my vague plan.",0.0
55,What motivates you to come to work every day?,I'm motivated by challenges and the opportunity to grow both personally and professionally. What motivates you to come to work every day?,1.0
56,Where do you see yourself in 5 years?,"Well, in five years? Hmm, that's a good question. I haven't really, like, *planned* anything that far ahead. Life's a journey, right? I just kind of go with the flow. 

I guess, ideally, I'd be in a good place. Maybe still here, maybe somewhere else. It depends on what opportunities pop up, you know? And who knows what the world will look like in five years! Everything's changing so fast. 

I'm hoping I'll have grown a lot, personally and professionally. Like, maybe I'd be really, really good at whatever I'm doing. That'd be cool. And, of course, I want to be happy. Ultimately, just a happy and fulfilled person. That's the main thing, right? So, yeah, happy and good at stuff. Something like that.",0.0
57,What are your long-term career aspirations?,My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. What are your long-term career aspirations?,1.0
58,How do you handle disagreements within a team?,"Well, disagreements happen, right? It's just part of working with people. Honestly, I try to avoid them if I can. I'm not a big fan of conflict. Sometimes, I just let people vent. You know, let them get it all out. Then, hopefully, it just kinda... goes away. 

If it's really a problem, I might suggest we talk about it. Maybe we can, like, brainstorm? I don't really have a set process, it depends on the situation. I mostly just want everyone to be happy, you know? And sometimes, I agree with whoever seems to be the loudest. It's just easier that way. Ultimately, my main goal is to keep things running smoothly, so... yeah. That's pretty much it.",0.0
59,Do you prefer working independently or in teams? Why?,I follow a structured workflow and use tools like Jira/Trello/Notion to manage my tasks efficiently. Do you prefer working independently or in teams? Why?,1.0
60,What type of company culture do you thrive in?,"Well, I guess I haven't really thought about ""company culture"" that much before. I mean, as long as the work gets done, right? I'm pretty easygoing, so honestly, I can adapt to whatever, you know? I'm not really a fan of like, super strict places, though. I prefer it to be relaxed, you know? Somewhere where people don't get all stressed out and can just chill.

I like people who are friendly, too. I don't want to feel awkward all the time. Oh, and maybe somewhere with like, free snacks would be cool? Haha! Seriously though, as long as the people are nice and the job is interesting, I'm good. I just want to be happy, you know? Doesn't everyone?",0.0
61,What drives your passion for this field?,I'm motivated by challenges and the opportunity to grow both personally and professionally. What drives your passion for this field?,1.0
62,What's the most significant change you've had to adapt to at work?,"I'm always eager to learn and embrace change as a way to improve. For example, I once had to switch to a new tech stack and picked it up quickly. What's the most significant change you've had to adapt to at work?",1.0
63,How do you react to sudden changes in priorities?,"Oh, you know, priorities changing, it happens, right? It's like, stuff just comes up, and then *bam* - new plan. Honestly, sometimes I just roll with it. I mean, I try to stay organized, have my to-do list and all, but if something new pops up, I’ll just kinda... do that instead. 

I'm not super worried about it. Usually, the boss tells me what to do, and I do it. If it's different from before, well, okay! I don't really get stressed about it. I just adapt, I guess. Sometimes I ask questions if I’m confused. I guess, just like everyone else, I figure it out as I go. As long as I'm doing *something*, I’m good. And I usually finish things, eventually.",0.0
64,Do you prefer working independently or in teams? Why?,I follow a structured workflow and use tools like Jira/Trello/Notion to manage my tasks efficiently. Do you prefer working independently or in teams? Why?,1.0
65,What's the most significant change you've had to adapt to at work?,"Oh gosh, that's a tough one! There have been, like, *so* many changes, you know? It's hard to pick just one. But, um, I guess the biggest thing was probably when we switched to the new software. It was a real pain at first. I mean, nobody really understood it, and it crashed all the time. We had to, like, watch videos and stuff. 

It took a while to get the hang of it. I eventually figured it out, mostly. Some people still struggle, though. I don't know, it just felt really different. Everything was in a different place and it was, like, a whole new system. It was definitely a big deal, and it took a lot of adapting. But we managed, somehow. Things are okay now I guess.",0.0
66,How do you align with our company values?,"Okay, so, like, company values, right? I totally get that. I saw them on your website, and they sound...good. I think. Honestly, I'm a pretty adaptable person. I can be, you know, whatever you need me to be.

If your values are about teamwork, I'm great at group projects. If they're about, uh, innovation, I'm always thinking of new things, like ways to improve my commute. And if it's something else entirely... well, I'll figure it out. I'm a fast learner!

I've worked in a bunch of places, and I've always, you know, just kind of fit in. I'm a hard worker, and I'm willing to learn. And I always try to be positive and friendly. So, yeah, I think I'd fit in with your values just fine. Whatever those are.",0.0
67,How do you respond when a teammate isn't pulling their weight?,"When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together. How do you respond when a teammate isn't pulling their weight?",1.0
68,How does this role fit into your career path?,My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. How does this role fit into your career path?,1.0
69,How do you align with our company values?,"Well, to be honest, I haven't really, like, *looked* at your company values super closely. I mean, I skimmed them on your website, you know, the usual stuff everyone puts up. I guess I'm a pretty good person, generally speaking. I try to be, like, a team player and stuff. I’m always willing to help out, even if I don’t really understand what’s going on.

I'm flexible, you know? I can roll with the punches, deal with things that come up. I'm not afraid of hard work, although sometimes I get a little tired. I’m pretty sure I fit in somewhere in your values, whatever they are. I'll probably learn more about them if I get the job, or something. Anyway, I think I'm a good fit, hopefully.",0.0
70,How do you delegate tasks effectively?,"I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. How do you delegate tasks effectively?",1.0
71,What motivates you to come to work every day?,I'm motivated by challenges and the opportunity to grow both personally and professionally. What motivates you to come to work every day?,1.0
72,Why do you want to work at our company?,I'm motivated by challenges and the opportunity to grow both personally and professionally. Why do you want to work at our company?,1.0
73,What are your long-term career aspirations?,"Well, I haven't really thought about it *too* much, you know? Things change! But I definitely want to be…successful. And happy, of course! That's important. I guess I want to, like, climb the ladder, you know, see where I can go. Maybe be a manager someday? That would be cool. I'd like a corner office, maybe with a nice view. 

I don't have anything super specific planned. I'm open to opportunities, as long as they pay well and don't involve too much stress. I'm not really a ""five-year plan"" kind of person. I prefer to go with the flow. Mostly, I just want a job I don't hate. And maybe a company car? You know, that's the dream.",0.0
74,How do you delegate tasks effectively?,"I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. How do you delegate tasks effectively?",1.0
75,Do you prefer working independently or in teams? Why?,"Well, honestly, I'm pretty flexible, you know? It depends on the project, really. Some days I like to just zone out and do my own thing, get stuff done without anyone bothering me. Those solo projects are nice because I can control everything.

But then, other times, teamwork is cool. It's good to bounce ideas off other people and, you know, get different perspectives. I'm not really picky. Teamwork can be fun, especially when you're not the one who has to do all the work. Plus, sometimes someone else knows more than you, so that’s helpful. I guess I like both. It just depends on my mood. Yeah. It’s all good. I'm good with whatever. As long as it's not too stressful.",0.0
76,What skills do you hope to develop in your next role?,My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. What skills do you hope to develop in your next role?,1.0
77,What tools or methods help you stay organized?,"Um, okay, so, like, staying organized, right? It's...important. I guess. Mostly. I try to, you know, keep things from getting too crazy.

Sometimes I use sticky notes. They're good for, you know, jotting down stuff. Then I stick them...somewhere. Hopefully I see them again. I think I have a planner, somewhere. I try to write stuff in there, but I often forget to look at it.

And, uh, emails? Yeah, I get a lot of those. I try to keep my inbox clear-ish, but it always gets filled up again. I basically just skim them, and if it looks important, I, like, make a mental note to deal with it later. Or maybe I forward it to myself. Or maybe I just…leave it. Whatever. It’s a work in progress, I guess. Just trying to figure it out.",0.0
78,How do you build trust with new teammates?,"I believe communication and mutual respect are key to successful collaboration. In one project, we achieved X because of great teamwork. How do you build trust with new teammates?",1.0
79,How do you respond when a teammate isn't pulling their weight?,"When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together. How do you respond when a teammate isn't pulling their weight?",1.0
80,What are your long-term career aspirations?,"Well, you know, that's a good question. Long-term... I guess I haven't really thought about it *that* much, haha. I'm just kind of going with the flow, you know? I like to see where things take me.

Ideally, in like, a while, I'd like to be… successful. You know? Making good money would be cool. And maybe, like, in charge of something. Or at least, you know, have some responsibility. Something important.

I'm not super picky. I just want to be happy and not bored, I guess. Maybe have a nicer office with a view. Oh, and a good team, that's important. People who are fun to be around. But yeah, long-term… just the basics, I think. You know, the usual stuff. Achieving stuff. Yeah. Does that make sense?",0.0
81,How do you ensure productivity when working remotely?,I follow a structured workflow and use tools like Jira/Trello/Notion to manage my tasks efficiently. How do you ensure productivity when working remotely?,1.0
82,Describe a time you handled a difficult situation professionally.,"When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together. Describe a time you handled a difficult situation professionally.",1.0
83,What drives your passion for this field?,"Honestly? It's a job, you know? Bills gotta get paid. But, uh, I guess I'm interested in, like, the ""concept"" of it all. You know, the big picture stuff. Like, what we're *trying* to do. It's usually pretty okay, sometimes it's even interesting. Depends on the day, really.

I did a couple of courses, figured it was a good industry to be in. Plus, there's potential for growth, right? Maybe get a promotion, earn a bit more. And you get to work with people, sometimes. I try to be a team player, mostly.
I don't *hate* it, put it that way. I haven't found anything I like more yet, so here I am. So, the passion? It's there, somewhere, buried under the daily grind.",0.0
84,How do you motivate others in a leadership role?,"I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. How do you motivate others in a leadership role?",1.0
